assembly_no,district,cand_no,party,name_kr,name_cn,sex,birthyear,birthmonth,birthday,address,job,education,experience,recommend_priority,votenum,voterate,elected
17,서울 종로구,,한나라당,박진,朴振,남,1956,09,16,,국회의원,옥스포드대학교(영국) 정치학박사('85~'93),16대 국회의원||한나라당대변인,,37431,42.80,True
17,서울 중구,,한나라당,박성범,朴成範,남,1940,03,17,,정당인,중앙대학교 신문방송대학원 졸업(석사),KBS 보도본부장||15대국회의원(서울중구),,29837,45.90,True
17,서울 용산구,,한나라당,진영,陳永,남,1950,10,23,,변호사,서울대학교 법학과 졸업,서울지방법원 남부지원 판사||경쟁력강화를 위한 변호사모임 대표,,51025,46.00,True
17,서울 성동구갑,,열린우리당,최재천,崔載千,남,1963,11,19,,변호사,전남대학교 대학원 졸업(법학박사),성동구 고문변호사||법무법인 한강 대표변호사,,35617,40.90,True
17,서울 성동구을,,열린우리당,임종석,任鍾晳,남,1966,04,24,,정당인(국회의원),한양대학교 무기재료공학과 졸업,제16대 국회의원||열린우리당 원내부대표(현),,36467,49.60,True
17,서울 광진구갑,,열린우리당,김영춘,金榮春,남,1962,02,05,,국회의원,고려대학교대학원졸업(정치학석사),제16대 국회의원,,44519,50.70,True
17,서울 광진구을,,열린우리당,김형주,金炯柱,남,1963,09,24,,정당인,한국외대 대학원졸업(정치학박사),한국청년연합회(KYC)초대회장||호서대학교경상학부 해외개발학과 겸임교수,,31963,35.70,True
17,서울 동대문구갑,,열린우리당,김희선,金希宣,여,1943,10,28,,국회의원,대전여자상업고등학교 2년 중퇴,국회민족정기의원모임 회장||열린우리당 전국여성위원장,,43228,44.10,True
17,서울 동대문구을,,한나라당,홍준표,洪準杓,남,1954,12,05,,국회의원,고대 법대 행정학과 졸업,당 전략기획위원장||15| 16대 국회의원,,37058,42.70,True
17,서울 중랑구갑,,열린우리당,이화영,李華泳,남,1963,12,11,,정당인,성균관대학교 사회학과 졸업,열린우리당 기획조정실장||이상수의원 보좌관,,39110,44.20,True
17,서울 중랑구을,,열린우리당,김덕규,金德圭,남,1941,03,09,,국회의원,고려대학교 정치외교학과 졸업,국회정보위원장(현재)||국회 행정경제위원장(14대),,49871,49.50,True
